titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
"Agent de Suivi, Evaluation et Redevabilité (ASER)",MAST / Unité de Gestion de Projet,3 Juil 2025,Jeremie,Sciences Humaines et Sociales,Sciences du Développement,Licence,3.0,CDD,"['Avoir au moins 3 années d’expériences démontrées dans un poste similaire', 'Une bonne connaissance des activités de suivi-évaluation', 'Avoir des expériences démontrées dans les projets de protection sociale ou d’assistance sociale', 'Bonne connaissance du secteur public et/ou de la coopération internationale et du secteur humanitaire en particulier', 'Bonne capacité de rédaction et de synthèse en français et en créole']",https://jobpaw.com/professionals/job-details?idj=17163
Coordonnateur.rice Logistique National,Médecins du Monde Canada,3 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des ONG,Non précisé,5.0,CDI,"['Bonne connaissance des programmes de la suite Microsoft Office', 'Maîtrise des logiciels d’approvisionnement', 'Excellente communication orale et écrite en français', 'Excellentes compétences relationnelles et interculturelles', 'Capacité à travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=17164
"Chargé(e) MEL (Suivi, Évaluation et Apprentissage)",Family Health International (FHI360),4 Juil 2025,Port-au-Prince,Santé et Professions médicales,Santé Publique,Licence,4.0,CDD,"['Conception et mise en œuvre de systèmes S&E', 'Analyse des données', 'Expérience avec les indicateurs MER', 'Renforcement des capacités techniques', 'Rédaction de rapports']",https://jobpaw.com/professionals/job-details?idj=17165
Manager,Black Store Haiti,4 Juil 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Master,3.0,CDI,"['Diplôme Bac+4 en Administration des affaires, sces comptable, gestion, ou autres discipline connexe', 'Minimum 3 ans d’expérience pertinente, dans la restauration ou organisation événement', 'Excellentes capacités de négociation et de suivi contractuel', 'Sens de l’organisation, autonomie et gestion efficace à distance', 'Maîtrise des outils bureautiques (MS Office), connaissance en logiciel quick books']",https://jobpaw.com/professionals/job-details?idj=17166
Administrateur(trice),Royal BJ Boulangerie & Pâtisserie,5 Juil 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,3.0,CDI,"['Gestion stratégique et opérationnelle', 'Leadership', 'Gestion financière', 'Gestion des ressources humaines', 'Planification des opérations']",https://jobpaw.com/professionals/job-details?idj=17167
Administrateur(trice),Royal BJ Boulangerie & Pâtisserie,5 Juil 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,3.0,CDI,"['Leadership éprouvé', 'Capacité à motiver une équipe', 'Compétences avérées en gestion financière', 'Compétences en communication', 'Compétences en stratégie organisationnelle']",https://jobpaw.com/professionals/job-details?idj=17168
Officier Finance,konbitonline,7 Juil 2025,Port-au-Prince,Droit,Droit Administratif,Non précisé,,CDI,,https://jobpaw.com/professionals/job-details?idj=17169
Spécialiste en finances / Especialista de Finanzas,Quala,7 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Sciences Comptables,,5.0,CDI,"['gestion de processus comptables', 'maîtrise des impôts', 'normes comptables internationales', 'connaissance des régulations fiscales et légales', 'diriger une équipe']",https://jobpaw.com/professionals/job-details?idj=17170
Manager de Plateformes Web,A+ Services S.A.,7 Juil 2025,Delmas,Communication et Journalisme,Communication digitale,Non précisé,3.0,CDI,"['Excellente capacité de communication écrite et orale', ""Sens aigu de l'organisation"", 'Autonomie', 'Rigueur', 'Réactivité']",https://jobpaw.com/professionals/job-details?idj=17171
Manager de Plateformes Web,JobPaw,17 Juil 2025,Port-au-Prince,Communication et Journalisme,Communication digitale,Licence,3.0,CDI,"['Excellente capacité de communication écrite et orale', ""Sens aigu de l'organisation"", 'Autonomie', 'Rigueur', 'Réactivité']",https://jobpaw.com/professionals/job-details?idj=17172
RESPONSABLE ACHATS ET LOGISTIQUE,Global Service Immigration Canada,8 Juil 2025,Quebec,"Architecture, Urbanisme et Aménagement du territoire",Aménagement du territoire,Non précisé,,CDI,"['Formation en mécanique', 'Expérience solide dans un rôle similaire', 'Connaissances en hydraulique', 'Connaissances en mécanique lourde', 'Connaissances en transmission']",https://jobpaw.com/professionals/job-details?idj=17173
Chargé.e Technique Senior-Protection,Federation Handicap International,8 Juil 2025,Port-au-Prince,Sciences Humaines et Sociales,Service Social,Master,4.0,CDD,"['Maitrise des normes, orientations et cadres juridiques internationaux relatifs à la protection', ""Expérience dans l'élaboration de stratégies d'intervention en matière de protection"", 'Capacités d’Analyse et stratégies en matière de Protection', ""Maitrise dans la mise en œuvre d'intervention de protection, y compris GBV, PE, et les approches de protection à base communautaire"", 'Excellente compréhension des Intervention technique en santé mentale et soutien psychosocial (MHPSS)']",https://jobpaw.com/professionals/job-details?idj=17174
Technologiste réceptionniste,MSPP/Laboratoire National de Sante Publique/UCP,8 Juil 2025,Port-au-Prince,Biologie/Chimie,Biologie moléculaire,Licence,,CDI,"['Détenteur/trice d’un diplôme de technologiste médical', 'Maitrise et habilité avec les outils informatiques', 'Parler et écrire le français et le créole', 'Avoir déjà travaillé dans une autre institution au niveau d’un poste similaire', 'Proactivité dans l’anticipation et la résolution de problème éventuel']",https://jobpaw.com/professionals/job-details?idj=17175
Technologiste réceptionniste,MSPP/Laboratoire National de Sante Publique/UCP,8 Juil 2025,Port-au-Prince,Biologie/Chimie,Biologie moléculaire,Licence,,CDI,"['diplôme de technologiste médical', 'maitrise et habilité avec les outils informatiques', 'parler et écrire le français et le créole', 'proactivité dans l’anticipation et la résolution de problème éventuel', 'aptitudes pour communiquer et travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=17176
Test,SunnyTouch,10 Juil 2025,Port-au-Prince,Sciences de l’Education,Psycho-pédagogie,,,CDI,,https://jobpaw.com/professionals/job-details?idj=17177
Assistante administrative,Faculte des Sciences (UEH),28 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,,"['Maîtrise de la suite Microsoft Office', 'Aisance avec les outils numériques', 'Bonne capacité rédactionnelle', None, None]",https://jobpaw.com/professionals/job-details?idj=17178
Informaticien,Faculte des Sciences (UEH),28 Juil 2025,Port-au-Prince,Sciences Informatiques,Sciences Informatiques,Licence,2.0,,"['Programmation web : HTML', 'CSS', 'JavaScript', 'PHP/Python', 'maîtrise d’un ou plusieurs frameworks modernes de développement web']",https://jobpaw.com/professionals/job-details?idj=17179
Secretaire,Faculte des Sciences (UEH),28 Juil 2025,Port-au-Prince,Secrétariat,Secrétariat,Non précisé,2.0,CDI,"['Aider la responsable du service de scolarité dans la production de documents académiques', 'Effectuer toute autre tâche administrative', 'Bonne maitrise de logiciels de bureautique']",https://jobpaw.com/professionals/job-details?idj=17180
Community Resilience & Disaster Risk Management Advisor,Plan International,10 Juil 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Master,5.0,CDI,"['Bonne connaissance de la problématique et du système national de GRD en Haïti', 'Expérience dans la coordination et la mise en œuvre de réponses d’urgence', 'Expérience dans le développement de stratégies sectorielles / politiques dans le secteur GRD/résilience', 'Connaissance et maîtrise des questions liées au genre et à la protection en situations d’urgence', 'Bonne maîtrise du cycle de projet : conception, mise en œuvre et suivi & évaluation']",https://jobpaw.com/professionals/job-details?idj=17181
Chargé(e) Construction - Education en Situation d’urgence,Excellence Centre de Services et d'information S.A.,10 Juil 2025,Port-au-Prince,"Architecture, Urbanisme et Aménagement du territoire",Bâtiment et construction,Licence,3.0,CDD,"['Résultats documentés en lien avec les responsabilités du poste.', 'Expérience démontrée dans la mise en œuvre de projets humanitaires ou de relèvement.', 'Expertise technique démontrée en Abris/EAH avec un accent sur les solutions matérielles.', 'Expérience préalable en contexte complexe et volatil.', 'Volonté et capacité à voyager et travailler régulièrement sur le terrain.']",https://jobpaw.com/professionals/job-details?idj=17182
Chef Comptable,prive,11 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,5.0,CDI,"['connaissance des outils comptables', 'méthodique', 'coordination des opérations comptables', 'bonne connaissance de l’outil informatique', 'maîtrise du créole et du français']",https://jobpaw.com/professionals/job-details?idj=17183
Spécialiste en chef de passation de marché,MARNDR/Projet d'Agriculture Résiliente et de Sécurité Alimentaire,12 Juil 2025,Port-au-Prince,Agriculture – Agroalimentaire,Agronomie,Licence,7.0,CDI,"['passation des marchés', 'connaissance des procédures nationales de passation de marchés publics', 'connaissance de la Banque Mondiale', 'maîtrise de l’outil informatique', 'compétences linguistiques en français et créole']",https://jobpaw.com/professionals/job-details?idj=17184
Spécialiste en gestion financière,MARNDR/Territoires Productifs Résilients II,12 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,10.0,CDI,"['Connaissance des normes internationales en matière de comptabilité et d’audit', 'Expérience et connaissance approfondie de la gestion des finances publiques', 'Connaissances des procédures des principaux bailleurs de fonds', 'Connaissance approfondie de la réglementation nationale en matière d’élaboration et d’exécution de budget', 'Expérience de l’audit externe et interne']",https://jobpaw.com/professionals/job-details?idj=17185
Senior Grants Officer,Family Health International (FHI360),14 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDD,"['Connaissance des règles et réglementations du gouvernement des États-Unis', 'Expérience avérée dans le soutien d’un portefeuille de sous-subventions', 'Solides compétences en gestion financière', 'Capacité à interpréter des informations et rapports financiers', 'Bonnes compétences analytiques']",https://jobpaw.com/professionals/job-details?idj=17186
"Conseiller(e) Technique, Traitement Communautaire du VIH",Family Health International (FHI360),14 Juil 2025,Port-au-Prince,Santé et Professions médicales,Santé Communautaire,Master,8.0,CDD,"['Expérience en soins et traitements VIH', 'Détection des cas', 'AHD', 'PTME', 'EID']",https://jobpaw.com/professionals/job-details?idj=17188
"Responsable Technique Senior, VIH Clinique (Nord)",Family Health International (FHI360),14 Juil 2025,Cap-Haitien,Santé et Professions médicales,Médecine familiale,Master,4.0,CDD,"['Expérience pertinente dans les environnements de soins VIH', 'Connaissance des plateformes diagnostiques', 'Connaissance des programmes de santé et de développement en Haïti', 'Expérience dans les programmes destinés aux personnes vivant avec le VIH', 'Capacité à respecter des délais serrés']",https://jobpaw.com/professionals/job-details?idj=17189
Ingénieur Électrique – Installations Industrielles,Metallo Prefab S.A.,15 Juil 2025,Port-au-Prince,Métiers du bâtiment et autres,Electricité industrielle,Licence,5.0,CDI,"['Conception de systèmes électriques', 'Supervision de l’installation de systèmes électriques', 'Analyse électrique', 'Interprétation de plans électriques', 'Conformité aux normes électriques']",https://jobpaw.com/professionals/job-details?idj=17190
Officier (ère) Technologie de l'Information,Concern Worldwide Haiti,16 Sept 2025,Port-au-Prince,Sciences Informatiques,Sciences Informatiques,Licence,3.0,CDD,"['Connaissance des ordinateurs', 'Connaissance du serveur Windows 2003/2008', 'Bonne connaissance des applications MS Office', 'Bonnes compétences interpersonnelles et de communication', ""Volonté d'apprendre et de prendre des initiatives""]",https://jobpaw.com/professionals/job-details?idj=17191
Coordonnateur/trice Programme Urgence,Concern Worldwide Haiti,15 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Master,5.0,CDD,"['Gestion de programme', 'Suivi et évaluation', 'Reporting et levée de fonds', 'Partenariats', 'Gestion des ressources humaines']",https://jobpaw.com/professionals/job-details?idj=17192
Officier de  Protection,Diakonie Katastrophenhilfe,16 Juil 2025,Port-au-Prince,Droit,Droit Administratif,Non précisé,5.0,CDD,"['connaissance des normes humanitaires', 'solide connaissance de la protection transversale', 'compétences en renforcement des capacités', 'compétences en communications écrite et orale', 'expérience prouvée de coordination avec les acteurs humanitaires']",https://jobpaw.com/professionals/job-details?idj=17193
